"mpID","Continent","Subdivison","Country","System","Waterbody","Zone Area","Tidal Zone","Test Area","Sample Time","Sediment Sample Method","Sediment Depth (cm)","Extract Sediment Wt","Extract Method","Extract Chemical","Extract Oxidizer","No. of Extracts","Inspection","mp range (µm)","mp/kg dw","MP Unit","Dominant Shapes","Dominant Size","Colors","Polymers","N","MP Stat","Notes","Data Obtained From","Abbrev. Reference","DOI"
"97","Africa","Bizerte","Tunisia","Estuarine","Lagoon of Bizerte","Coastal","Subtidal","Menzel Jemil","2016","stainless steel spatula","0-3 cm","50 g dry","1-density separated","sodium chloride (1.14 g/ml)","(none)","1x","Visual inspection only","10-5000","3682","microplastic/kg sediment dry wt.","fbr, frgmnt","<2 mm","transparent, white, blue, red, green, black","(Not Applicable)","3","Mean","","interp_graph; Figure 2","Abidli et al. 2017. The first evaluation of mic...","https://doi.org/10.1007/s11270-017-3439-9"
"98","Africa","Bizerte","Tunisia","Estuarine","Lagoon of Bizerte","Coastal","Subtidal","Carrier Bay","2016","stainless steel spatula","0-3 cm","50 g dry","1-density separated","sodium chloride (1.14 g/ml)","(none)","1x","Visual inspection only","10-5000","6628","microplastic/kg sediment dry wt.","fbr, frgmnt","<2 mm","transparent, white, blue, red, green, black","(Not Applicable)","3","Mean","","interp_graph; Figure 2","Abidli et al. 2017. The first evaluation of mic...","https://doi.org/10.1007/s11270-017-3439-9"
"96","Africa","Bizerte","Tunisia","Estuarine","Lagoon of Bizerte","Coastal","Subtidal","Menzel Abderrahmane","2016","stainless steel spatula","0-3 cm","50 g dry","1-density separated","sodium chloride (1.14 g/ml)","(none)","1x","Visual inspection only","10-5000","17921","microplastic/kg sediment dry wt.","fbr, frgmnt","<2 mm","transparent, white, blue, red, green, black","(Not Applicable)","3","Mean","","interp_graph; Figure 2","Abidli et al. 2017. The first evaluation of mic...","https://doi.org/10.1007/s11270-017-3439-9"
"99","Africa","Bizerte","Tunisia","Estuarine","Lagoon of Bizerte","Coastal","Subtidal","Channel","2016","stainless steel spatula","0-3 cm","50 g dry","1-density separated","sodium chloride (1.14 g/ml)","(none)","1x","Visual inspection only","10-5000","3191","microplastic/kg sediment dry wt.","fbr, frgmnt","<2 mm","transparent, white, blue, red, green, black","(Not Applicable)","3","Mean","","interp_graph; Figure 2","Abidli et al. 2017. The first evaluation of mic...","https://doi.org/10.1007/s11270-017-3439-9"
"762","Africa","Eastern Cape","South Africa","Riverine","Bloukrans River","Bottom","(N/A)","Bloukrans River in summer","2016 Feb","(N/R)","0-5 cm","500 g dry","1-sieved, 2-density separated","saline solution (1.1 g/ml)","(none)","1x","Visual inspection only","63-5000","6.3","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","(Not Applicable)","21","Mean","","table_text; Page 953","Nel et al. 2018. Sinks and sources: Assessing m...","https://doi.org/10.1016/j.scitotenv.2017.08.298"
"763","Africa","Eastern Cape","South Africa","Riverine","Bloukrans River","Bottom","(N/A)","Bloukrans River in winter","2016 Jul","(N/R)","0-5 cm","500 g dry","1-sieved, 2-density separated","saline solution (1.1 g/ml)","(none)","1x","Visual inspection only","63-5000","160.1","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","(Not Applicable)","21","Mean","","table_text; Page 953","Nel et al. 2018. Sinks and sources: Assessing m...","https://doi.org/10.1016/j.scitotenv.2017.08.298"
"985","Africa","Kwazulu-Natal","South Africa","Marine","Durban Bay","Nearshore","Subtidal","Durban Bay","2012","Gravity corer","20-22.5 cm","10 g dry, freeze","1-oxidized, 2-sieved, 3-density separated, 4-sieved","sodium iodide (1.6 g/ml)","(none)","2x","Visual inspection & FTIR","315-5000","396.9","microplastic/kg sediment dry wt.","frgmnt, fbr","(N/R)","brown, black, white","polyethylene, polyethylene terephthalate, polyethylene propylene copolymer","1","Single","Durban Bay, South Africa","interp_graph; Figure 7","Matsuguma et al. 2017. Microplastics in sedimen...","https://doi.org/10.1007/s00244-017-0414-9"
"4","Africa","Kwazulu-Natal","South Africa","Marine","Durban Bay","Nearshore","Subtidal","Durban Bay","2012","Gravity corer","2.5-5 cm","10 g dry, freeze","1-oxidized, 2-sieved, 3-density separated, 4-sieved","sodium iodide (1.6 g/ml)","(none)","2x","Visual inspection & FTIR","315-5000","1758.8","microplastic/kg sediment dry wt.","frgmnt, fbr","(N/R)","white, black, brown, transparent, blue","polyethylene, polyethylene terephthalate, polyethylene propylene copolymer","1","Single","Durban Bay, South Africa","interp_graph; Figure 7","Matsuguma et al. 2017. Microplastics in sedimen...","https://doi.org/10.1007/s00244-017-0414-9"
"1218","Africa","Kwazulu-Natal","South Africa","Estuarine","Durban Bay","Coastal","Harbor/Port","Port of Durban","2019 Sep","Van Veen grab","0-15 cm","5 g dry","1-density separated, 2-oxidized, 3-Nile red","sodium chloride (1.2 g/ml)","KOH:NaClO","3x","Visual inspection & FTIR","1-5000","28400","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polyethylene, cellophane, polypropylene, polystyrene","1","Mean","MP shapes not reported","table_text; Table S1-Esplanade Canal-n","Preston-Whyte et al. 2021. Meso- and microplast...","https://doi.org/10.1016/j.marpolbul.2020.111948"
"1209","Africa","Kwazulu-Natal","South Africa","Estuarine","Durban Bay","Coastal","Harbor/Port","Port of Durban","2019 Sep","Van Veen grab","0-15 cm","5 g dry","1-density separated, 2-oxidized, 3-Nile red","sodium chloride (1.2 g/ml)","KOH:NaClO","3x","Visual inspection & FTIR","1-5000","8300","microplastic/kg sediment dry wt.","(N/R)","<500 micron","(N/R)","polyethylene, cellophane, polypropylene, polystyrene","1","Mean","MP shapes not reported","table_text; Table S1-Q&R Quay-b","Preston-Whyte et al. 2021. Meso- and microplast...","https://doi.org/10.1016/j.marpolbul.2020.111948"
"1210","Africa","Kwazulu-Natal","South Africa","Estuarine","Durban Bay","Coastal","Harbor/Port","Port of Durban","2019 Sep","Van Veen grab","0-15 cm","5 g dry","1-density separated, 2-oxidized, 3-Nile red","sodium chloride (1.2 g/ml)","KOH:NaClO","3x","Visual inspection & FTIR","1-5000","3100","microplastic/kg sediment dry wt.","(N/R)","(N/R)","(N/R)","polyethylene, cellophane, polypropylene, polystyrene","1","Mean","MP shapes not reported","table_text; Table S1-Point Yacht Club Mudflat-c","Preston-Whyte et al. 2021. Meso- and microplast...","https://doi.org/10.1016/j.marpolbul.2020.111948"
