Date_YYYY-MM-DD,Country_Region,Location_name,Location_lat,Location_lon,Transect,Position,Size_min_mm,Size_max_mm,Size_class,Particle_count,Particle_weight_g,Weight_dry_sand_g,Beach_Zone
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,1,1,5,microplastics,0,0.000,1144.8,dune
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,2,1,5,microplastics,0,0.000,1220.0,dune
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,3,1,5,microplastics,3,0.001,1257.5,dune
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,4,1,5,microplastics,2,0.005,1216.2,backshore
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,5,1,5,microplastics,5,0.001,1242.1,backshore
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,6,1,5,microplastics,0,0.000,1277.3,backshore
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,7,1,5,microplastics,4,0.004,1185.1,backshore
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,8,1,5,microplastics,2,0.009,1165.5,backshore
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,9,1,5,microplastics,14,0.068,1256.6,backshore
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,10,1,5,microplastics,17,0.056,1286.2,backshore
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,11,1,5,microplastics,33,0.219,1314.1,backshore
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,12,1,5,microplastics,25,0.219,1322.3,storm_line
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,13,1,5,microplastics,3,0.007,1339.0,storm_line
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,14,1,5,microplastics,12,0.114,1145.4,storm_line
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,15,1,5,microplastics,18,0.165,1245.4,storm_line
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,16,1,5,microplastics,20,0.076,1220.2,supra_littoral
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,17,1,5,microplastics,12,0.020,1135.4,supra_littoral
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,18,1,5,microplastics,7,0.048,1086.9,supra_littoral
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,19,1,5,microplastics,7,0.028,1192.7,supra_littoral
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,20,1,5,microplastics,1,0.008,1125.6,supra_littoral
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,21,1,5,microplastics,1,0.001,1291.6,supra_littoral
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,22,1,5,microplastics,0,0.000,1202.0,supra_littoral
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,23,1,5,microplastics,19,0.062,1118.6,high_tide_line
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,24,1,5,microplastics,2,0.005,1157.3,high_tide_line
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,A,25,1,5,microplastics,0,0.000,976.0,intertidal
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,B,1,1,5,microplastics,3,0.002,1238.1,dune
2018-04-27,Taiwan,Longmen_Beach,25.02951,121.9355,B,2,1,5,microplastics,0,0.000,1235.0,dune
