Date_YYYY-MM-DD,Country_Region,Location_name,Location_lat,Location_lon,Transect,Position,Size_min_mm,Size_max_mm,Size_class,no_color,black,grey,red_pink,orange_brown_yellow,green,blue,purple
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,1,1,5,microplastics,52,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,2,1,5,microplastics,36,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,3,1,5,microplastics,76,1,0,2,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,4,1,5,microplastics,56,0,1,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,5,1,5,microplastics,179,0,0,1,1,2,1,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,6,1,5,microplastics,58,0,1,0,0,0,2,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,7,1,5,microplastics,65,4,0,0,1,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,8,1,5,microplastics,73,0,0,0,1,2,2,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,9,1,5,microplastics,76,0,0,1,0,2,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,10,1,5,microplastics,104,7,1,0,0,6,5,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,11,1,5,microplastics,20,1,1,0,1,1,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,12,1,5,microplastics,16,1,1,1,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,13,1,5,microplastics,179,9,4,5,2,15,9,2
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,14,1,5,microplastics,25,0,1,0,0,0,3,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,15,1,5,microplastics,36,3,1,2,0,2,2,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,16,1,5,microplastics,3,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,17,1,5,microplastics,1,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,18,1,5,microplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,19,1,5,microplastics,1,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,20,1,5,microplastics,0,0,0,0,0,0,1,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,21,1,5,microplastics,0,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,22,1,5,microplastics,2,0,0,0,0,0,0,0
2018-04-25,Taiwan,Xialiao_Beach,25.21469,121.65406,A,23,1,5,microplastics,3,0,0,0,0,0,2,0
