sample_id,Continent,Country,System,Waterbody,Zone Area,Tidal_Zone,Test_Area,Year,Date,mp/kg dw,Size_class,source,environment_type,location,Dominant Color,Size_Category
DOER_97,Africa,Tunisia,Estuarine,Lagoon of Bizerte,Coastal,Subtidal,Menzel Jemil,2016-01-01,,3682.0,microplastics,DOER Database,Estuary,"Menzel Jemil, Tunisia",transparent,microplastics
DOER_98,Africa,Tunisia,Estuarine,Lagoon of Bizerte,Coastal,Subtidal,Carrier Bay,2016-01-01,,6628.0,microplastics,DOER Database,Estuary,"Carrier Bay, Tunisia",transparent,microplastics
DOER_96,Africa,Tunisia,Estuarine,Lagoon of Bizerte,Coastal,Subtidal,Menzel Abderrahmane,2016-01-01,,17921.0,microplastics,DOER Database,Estuary,"Menzel Abderrahmane, Tunisia",transparent,microplastics
DOER_99,Africa,Tunisia,Estuarine,Lagoon of Bizerte,Coastal,Subtidal,Channel,2016-01-01,,3191.0,microplastics,DOER Database,Estuary,"Channel, Tunisia",transparent,microplastics
DOER_1218,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,28400.0,unknown,DOER Database,Estuary,"Port of Durban, South Africa",transparent,unknown
DOER_1209,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,8300.0,unknown,DOER Database,Estuary,"Port of Durban, South Africa",transparent,microplastics
DOER_1210,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,3100.0,unknown,DOER Database,Estuary,"Port of Durban, South Africa",transparent,unknown
DOER_1211,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,111933.0,unknown,DOER Database,Estuary,"Port of Durban, South Africa",transparent,microplastics
DOER_1212,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,40933.0,unknown,DOER Database,Estuary,"Port of Durban, South Africa",transparent,unknown
DOER_1213,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,11800.0,unknown,DOER Database,Estuary,"Port of Durban, South Africa",transparent,microplastics
DOER_1214,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,2400.0,unknown,DOER Database,Estuary,"Port of Durban, South Africa",transparent,microplastics
DOER_1215,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,7200.0,unknown,DOER Database,Estuary,"Port of Durban, South Africa",transparent,unknown
DOER_1217,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,8200.0,unknown,DOER Database,Estuary,"Port of Durban, South Africa",transparent,unknown
DOER_1219,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,12500.0,unknown,DOER Database,Estuary,"Port of Durban, South Africa",transparent,unknown
DOER_1220,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,14733.0,unknown,DOER Database,Estuary,"Port of Durban, South Africa",transparent,unknown
DOER_1221,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,16800.0,unknown,DOER Database,Estuary,"Port of Durban, South Africa",transparent,microplastics
DOER_1222,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,3600.0,unknown,DOER Database,Estuary,"Port of Durban, South Africa",transparent,unknown
DOER_1223,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,6933.0,unknown,DOER Database,Estuary,"Port of Durban, South Africa",unknown,unknown
DOER_1224,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,17467.0,unknown,DOER Database,Estuary,"Port of Durban, South Africa",transparent,unknown
DOER_1226,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,45867.0,unknown,DOER Database,Estuary,"Port of Durban, South Africa",blue,microplastics
DOER_1227,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,33500.0,unknown,DOER Database,Estuary,"Port of Durban, South Africa",unknown,unknown
DOER_1228,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,15533.0,unknown,DOER Database,Estuary,"Port of Durban, South Africa",transparent,unknown
DOER_1229,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,36733.0,unknown,DOER Database,Estuary,"Port of Durban, South Africa",transparent,microplastics
DOER_1230,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,11333.0,unknown,DOER Database,Estuary,"Port of Durban, South Africa",transparent,unknown
DOER_1216,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,14133.0,unknown,DOER Database,Estuary,"Port of Durban, South Africa",transparent,unknown
DOER_1225,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,12067.0,unknown,DOER Database,Estuary,"Port of Durban, South Africa",transparent,unknown
DOER_135,Asia,China,Estuarine,Victoria Harbor,Coastal,Harbor/Port,East Kowloon Side,,,74.0,unknown,DOER Database,Estuary,"East Kowloon Side, China",transparent,unknown
DOER_134,Asia,China,Estuarine,Victoria Harbor,Coastal,Harbor/Port,West Kowloon Side,,,70.0,unknown,DOER Database,Estuary,"West Kowloon Side, China",transparent,unknown
DOER_133,Asia,China,Estuarine,Tsing Yi,Coastal,Harbor/Port,Rambler Channel,,,54.0,unknown,DOER Database,Estuary,"Rambler Channel, China",transparent,unknown
DOER_132,Asia,China,Estuarine,Tsing Yi,Coastal,Harbor/Port,North of Tsing Yi Island,,,44.0,unknown,DOER Database,Estuary,"North of Tsing Yi Island, China",transparent,unknown
DOER_127,Asia,China,Estuarine,Victoria Harbor,Coastal,Harbor/Port,Northeast of Hong Kong Island,,,328.0,unknown,DOER Database,Estuary,"Northeast of Hong Kong Island, China",transparent,unknown
DOER_126,Asia,China,Estuarine,Victoria Harbor,Coastal,Harbor/Port,East Kowloon Side,,,170.0,unknown,DOER Database,Estuary,"East Kowloon Side, China",transparent,unknown
DOER_125,Asia,China,Estuarine,Victoria Harbor,Coastal,Harbor/Port,West Kowloon Side,,,292.0,unknown,DOER Database,Estuary,"West Kowloon Side, China",transparent,unknown
DOER_123,Asia,China,Estuarine,Tsing Yi,Coastal,Harbor/Port,North of Tsing Yi Island,,,210.0,unknown,DOER Database,Estuary,"North of Tsing Yi Island, China",transparent,unknown
DOER_118,Asia,China,Estuarine,Victoria Harbor,Coastal,Harbor/Port,Northeast of Hong Kong Island,,,114.0,unknown,DOER Database,Estuary,"Northeast of Hong Kong Island, China",transparent,unknown
DOER_117,Asia,China,Estuarine,Victoria Harbor,Coastal,Harbor/Port,East Kowloon Side,,,57.0,unknown,DOER Database,Estuary,"East Kowloon Side, China",transparent,unknown
DOER_116,Asia,China,Estuarine,Victoria Harbor,Coastal,Harbor/Port,West Kowloon Side,,,417.0,unknown,DOER Database,Estuary,"West Kowloon Side, China",transparent,unknown
DOER_115,Asia,China,Estuarine,Tsing Yi,Coastal,Harbor/Port,Rambler Channel,,,103.0,unknown,DOER Database,Estuary,"Rambler Channel, China",transparent,unknown
DOER_114,Asia,China,Estuarine,Tsing Yi,Coastal,Harbor/Port,North of Tsing Yi Island,,,131.0,unknown,DOER Database,Estuary,"North of Tsing Yi Island, China",transparent,unknown
DOER_124,Asia,China,Estuarine,Tsing Yi,Coastal,Harbor/Port,Rambler Channel,,,186.0,unknown,DOER Database,Estuary,"Rambler Channel, China",transparent,unknown
DOER_136,Asia,China,Estuarine,Victoria Harbor,Coastal,Harbor/Port,Northeast of Hong Kong Island,,,88.0,unknown,DOER Database,Estuary,"Northeast of Hong Kong Island, China",unknown,unknown
DOER_556,Asia,China,Estuarine,Liaohe estuary,Coastal,Subtidal,Liaohe estuary,,,61.0,unknown,DOER Database,Estuary,"Liaohe estuary, China",unknown,unknown
DOER_557,Asia,China,Estuarine,Liaohe estuary,Coastal,Subtidal,Liaohe estuary,,,65.0,unknown,DOER Database,Estuary,"Liaohe estuary, China",unknown,unknown
DOER_558,Asia,China,Estuarine,Liaohe estuary,Coastal,Subtidal,Liaohe estuary,,,45.0,unknown,DOER Database,Estuary,"Liaohe estuary, China",unknown,unknown
DOER_559,Asia,China,Estuarine,Liaohe estuary,Coastal,Subtidal,Liaohe estuary,,,154.0,unknown,DOER Database,Estuary,"Liaohe estuary, China",unknown,unknown
DOER_560,Asia,China,Estuarine,Liaohe estuary,Coastal,Subtidal,Liaohe estuary,,,73.0,unknown,DOER Database,Estuary,"Liaohe estuary, China",unknown,unknown
DOER_561,Asia,China,Estuarine,Liaohe estuary,Coastal,Subtidal,Liaohe estuary,,,98.0,unknown,DOER Database,Estuary,"Liaohe estuary, China",transparent,unknown
DOER_562,Asia,China,Estuarine,Liaohe estuary,Coastal,Subtidal,Liaohe estuary,,,141.0,unknown,DOER Database,Estuary,"Liaohe estuary, China",transparent,unknown
DOER_563,Asia,China,Estuarine,Liaohe estuary,Coastal,Subtidal,Liaohe estuary,,,80.0,unknown,DOER Database,Estuary,"Liaohe estuary, China",transparent,unknown
DOER_564,Asia,China,Estuarine,Liaohe estuary,Coastal,Subtidal,Liaohe estuary,,,74.0,unknown,DOER Database,Estuary,"Liaohe estuary, China",transparent,unknown
DOER_566,Asia,China,Estuarine,Liaohe estuary,Coastal,Subtidal,Liaohe estuary,,,112.0,unknown,DOER Database,Estuary,"Liaohe estuary, China",transparent,unknown
DOER_565,Asia,China,Estuarine,Liaohe estuary,Coastal,Subtidal,Liaohe estuary,,,153.0,unknown,DOER Database,Estuary,"Liaohe estuary, China",transparent,unknown
DOER_11,Europe,United Kingdom,Estuarine,English Channel,Coastal,Subtidal,"near Plymouth, UK",,,31.0,unknown,DOER Database,Estuary,"near Plymouth, UK, United Kingdom",transparent,unknown
DOER_15,Europe,Netherlands,Estuarine,Rhine Estuary,Coastal,Subtidal,Rhine Estuary,2013-01-01,,3305.0,unknown,DOER Database,Estuary,"Rhine Estuary, Netherlands",transparent,microplastics
DOER_16,Europe,Italy,Estuarine,Lagoon of Venice,Coastal,Subtidal,Palude dell Rosa,,,2175.0,microplastics,DOER Database,Estuary,"Palude dell Rosa, Italy",transparent,microplastics
DOER_1234,Europe,Italy,Estuarine,Lagoon of Venice,Coastal,Subtidal,Sacca Sessola,,,1353.0,microplastics,DOER Database,Estuary,"Sacca Sessola, Italy",transparent,microplastics
DOER_1236,Europe,Italy,Estuarine,Lagoon of Venice,Coastal,Subtidal,Lago di Rivolta,,,1476.0,microplastics,DOER Database,Estuary,"Lago di Rivolta, Italy",transparent,microplastics
DOER_1233,Europe,Italy,Estuarine,Lagoon of Venice,Coastal,Subtidal,S. Giorgio in Alga,,,1908.0,microplastics,DOER Database,Estuary,"S. Giorgio in Alga, Italy",transparent,microplastics
DOER_1232,Europe,Italy,Estuarine,Lagoon of Venice,Coastal,Subtidal,Fondamente Nuove,,,1501.0,microplastics,DOER Database,Estuary,"Fondamente Nuove, Italy",transparent,microplastics
DOER_1235,Europe,Italy,Estuarine,Lagoon of Venice,Coastal,Subtidal,Mussel Farm,,,1237.0,microplastics,DOER Database,Estuary,"Mussel Farm, Italy",transparent,microplastics
DOER_1237,Europe,Italy,Estuarine,Lagoon of Venice,Coastal,Subtidal,Valle di Bon,,,1856.0,microplastics,DOER Database,Estuary,"Valle di Bon, Italy",transparent,microplastics
DOER_1238,Europe,Italy,Estuarine,Lagoon of Venice,Coastal,Subtidal,Ca' Roman,,,672.0,microplastics,DOER Database,Estuary,"Ca' Roman, Italy",transparent,microplastics
DOER_1239,Europe,Italy,Estuarine,Lagoon of Venice,Coastal,Subtidal,Chioggia,,,1394.0,microplastics,DOER Database,Estuary,"Chioggia, Italy",orange_brown_yellow,microplastics
DOER_1231,Europe,Italy,Estuarine,Lagoon of Venice,Coastal,Subtidal,S. Erasmo,,,880.0,microplastics,DOER Database,Estuary,"S. Erasmo, Italy",transparent,microplastics
DOER_959,North America,United States,Estuarine,Tampa Bay,Coastal,Subtidal,Boca Ciega Bay,,,3800.0,unknown,DOER Database,Estuary,"Boca Ciega Bay, United States",transparent,unknown
DOER_960,North America,United States,Estuarine,Tampa Bay,Coastal,Subtidal,Egmont Key,,,2000.0,unknown,DOER Database,Estuary,"Egmont Key, United States",transparent,unknown
DOER_961,North America,United States,Estuarine,Tampa Bay,Coastal,Subtidal,Lower Tampa Bay,,,1100.0,unknown,DOER Database,Estuary,"Lower Tampa Bay, United States",unknown,unknown
DOER_962,North America,United States,Estuarine,Tampa Bay,Coastal,Subtidal,Mid Tampa Bay,,,300.0,unknown,DOER Database,Estuary,"Mid Tampa Bay, United States",unknown,unknown
DOER_963,North America,United States,Estuarine,Tampa Bay,Coastal,Subtidal,Mid Tampa Bay,,,400.0,unknown,DOER Database,Estuary,"Mid Tampa Bay, United States",transparent,unknown
