sample_id,Continent,Country,region,System,Waterbody,Zone Area,Tidal_Zone,Test_Area,Year,Date,mp/kg dw,log_concentration,Size_class,Standardized_Shapes,Dominant_Size,dominant_color,source,environment_type,location,concentration_level
DOER_97,Africa,Tunisia,Africa,Estuarine,Lagoon of Bizerte,Coastal,Subtidal,Menzel Jemil,2016.0,,3682.0,3.566201718854913,microplastics,"fiber, fragment",<2 mm,unknown,DOER Database,Estuary,"Menzel Jemil, Tunisia",High
DOER_98,Africa,Tunisia,Africa,Estuarine,Lagoon of Bizerte,Coastal,Subtidal,Carrier Bay,2016.0,,6628.0,3.8214480190175304,microplastics,"fiber, fragment",<2 mm,unknown,DOER Database,Estuary,"Carrier Bay, Tunisia",High
DOER_96,Africa,Tunisia,Africa,Estuarine,Lagoon of Bizerte,Coastal,Subtidal,Menzel Abderrahmane,2016.0,,17921.0,4.2533864729877715,microplastics,"fiber, fragment",<2 mm,unknown,DOER Database,Estuary,"Menzel Abderrahmane, Tunisia",Very High
DOER_99,Africa,Tunisia,Africa,Estuarine,Lagoon of Bizerte,Coastal,Subtidal,Channel,2016.0,,3191.0,3.5040628826786917,microplastics,"fiber, fragment",<2 mm,unknown,DOER Database,Estuary,"Channel, Tunisia",High
DOER_1218,Africa,South Africa,Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,28400.0,4.453333631837039,unknown,unknown,(N/R),unknown,DOER Database,Estuary,"Port of Durban, South Africa",Very High
DOER_1209,Africa,South Africa,Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,8300.0,3.9191304138606142,unknown,unknown,<500 micron,unknown,DOER Database,Estuary,"Port of Durban, South Africa",High
DOER_1210,Africa,South Africa,Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,3100.0,3.4915017662373264,unknown,unknown,(N/R),unknown,DOER Database,Estuary,"Port of Durban, South Africa",High
DOER_1211,Africa,South Africa,Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,111933.0,5.048962023700525,unknown,unknown,<300 micron,unknown,DOER Database,Estuary,"Port of Durban, South Africa",Very High
DOER_1212,Africa,South Africa,Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,40933.0,4.612084185227919,unknown,unknown,(N/R),unknown,DOER Database,Estuary,"Port of Durban, South Africa",Very High
DOER_1213,Africa,South Africa,Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,11800.0,4.071918810363806,unknown,unknown,<500 micron,unknown,DOER Database,Estuary,"Port of Durban, South Africa",Very High
DOER_1214,Africa,South Africa,Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,2400.0,3.3803921600570273,unknown,unknown,<500 micron,unknown,DOER Database,Estuary,"Port of Durban, South Africa",High
DOER_1215,Africa,South Africa,Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,7200.0,3.8573928109209015,unknown,unknown,(N/R),unknown,DOER Database,Estuary,"Port of Durban, South Africa",High
DOER_1217,Africa,South Africa,Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,8200.0,3.913866811896239,unknown,unknown,(N/R),unknown,DOER Database,Estuary,"Port of Durban, South Africa",High
DOER_1219,Africa,South Africa,Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,12500.0,4.09694475517694,unknown,unknown,(N/R),unknown,DOER Database,Estuary,"Port of Durban, South Africa",Very High
DOER_1220,Africa,South Africa,Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,14733.0,4.168320665518865,unknown,unknown,(N/R),unknown,DOER Database,Estuary,"Port of Durban, South Africa",Very High
DOER_1221,Africa,South Africa,Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,16800.0,4.22533513181854,unknown,unknown,<300 micron,unknown,DOER Database,Estuary,"Port of Durban, South Africa",Very High
DOER_1222,Africa,South Africa,Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,3600.0,3.556423121371285,unknown,unknown,(N/R),unknown,DOER Database,Estuary,"Port of Durban, South Africa",High
DOER_1223,Africa,South Africa,Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,6933.0,3.840983837320378,unknown,unknown,(N/R),unknown,DOER Database,Estuary,"Port of Durban, South Africa",High
DOER_1224,Africa,South Africa,Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,17467.0,4.242243183249302,unknown,unknown,(N/R),unknown,DOER Database,Estuary,"Port of Durban, South Africa",Very High
DOER_1226,Africa,South Africa,Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,45867.0,4.661509803835923,unknown,unknown,<300 micron,unknown,DOER Database,Estuary,"Port of Durban, South Africa",Very High
DOER_1227,Africa,South Africa,Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,33500.0,4.5250577708577415,unknown,unknown,(N/R),unknown,DOER Database,Estuary,"Port of Durban, South Africa",Very High
DOER_1228,Africa,South Africa,Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,15533.0,4.191283300818515,unknown,unknown,(N/R),unknown,DOER Database,Estuary,"Port of Durban, South Africa",Very High
DOER_1229,Africa,South Africa,Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,36733.0,4.565068221657102,unknown,unknown,<300 micron,unknown,DOER Database,Estuary,"Port of Durban, South Africa",Very High
DOER_1230,Africa,South Africa,Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,11333.0,4.054383208305477,unknown,unknown,(N/R),unknown,DOER Database,Estuary,"Port of Durban, South Africa",Very High
DOER_1216,Africa,South Africa,Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,14133.0,4.150265086978703,unknown,unknown,(N/R),unknown,DOER Database,Estuary,"Port of Durban, South Africa",Very High
DOER_1225,Africa,South Africa,Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,,,12067.0,4.081635301502951,unknown,unknown,(N/R),unknown,DOER Database,Estuary,"Port of Durban, South Africa",Very High
DOER_135,Asia,China,East Asia,Estuarine,Victoria Harbor,Coastal,Harbor/Port,East Kowloon Side,,,74.0,1.8750612633917,unknown,"fragment, pellet",(N/R),unknown,DOER Database,Estuary,"East Kowloon Side, China",Low
DOER_134,Asia,China,East Asia,Estuarine,Victoria Harbor,Coastal,Harbor/Port,West Kowloon Side,,,70.0,1.8512583487190752,unknown,"fragment, pellet",(N/R),unknown,DOER Database,Estuary,"West Kowloon Side, China",Low
DOER_133,Asia,China,East Asia,Estuarine,Tsing Yi,Coastal,Harbor/Port,Rambler Channel,,,54.0,1.7403626894942439,unknown,"fragment, pellet",(N/R),unknown,DOER Database,Estuary,"Rambler Channel, China",Low
DOER_132,Asia,China,East Asia,Estuarine,Tsing Yi,Coastal,Harbor/Port,North of Tsing Yi Island,,,44.0,1.6532125137753437,unknown,"fragment, pellet",(N/R),unknown,DOER Database,Estuary,"North of Tsing Yi Island, China",Low
