sample_id,Continent,Country,System,Waterbody,Zone Area,Tidal_Zone,Test_Area,Year,Date,mp/kg dw,Size_class,Dominant_Size,dominant_color,source,environment_type,location,concentration_level,color_display
DOER_97,Africa,Tunisia,Estuarine,Lagoon of Bizerte,Coastal,Subtidal,Menzel Jemil,2016.0,unknown,3682.0,microplastics,<2 mm,unknown,DOER Database,Estuary,"Menzel Jemil, Tunisia",High,unknown
DOER_98,Africa,Tunisia,Estuarine,Lagoon of Bizerte,Coastal,Subtidal,Carrier Bay,2016.0,unknown,6628.0,microplastics,<2 mm,unknown,DOER Database,Estuary,"Carrier Bay, Tunisia",High,unknown
DOER_96,Africa,Tunisia,Estuarine,Lagoon of Bizerte,Coastal,Subtidal,Menzel Abderrahmane,2016.0,unknown,17921.0,microplastics,<2 mm,unknown,DOER Database,Estuary,"Menzel Abderrahmane, Tunisia",Very High,unknown
DOER_99,Africa,Tunisia,Estuarine,Lagoon of Bizerte,Coastal,Subtidal,Channel,2016.0,unknown,3191.0,microplastics,<2 mm,unknown,DOER Database,Estuary,"Channel, Tunisia",High,unknown
DOER_1218,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,2019.0,unknown,28400.0,unknown,(N/R),unknown,DOER Database,Estuary,"Port of Durban, South Africa",Very High,unknown
DOER_1209,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,2019.0,unknown,8300.0,unknown,<500 micron,unknown,DOER Database,Estuary,"Port of Durban, South Africa",High,unknown
DOER_1210,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,2019.0,unknown,3100.0,unknown,(N/R),unknown,DOER Database,Estuary,"Port of Durban, South Africa",High,unknown
DOER_1211,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,2019.0,unknown,111933.0,unknown,<300 micron,unknown,DOER Database,Estuary,"Port of Durban, South Africa",Very High,unknown
DOER_1212,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,2019.0,unknown,40933.0,unknown,(N/R),unknown,DOER Database,Estuary,"Port of Durban, South Africa",Very High,unknown
DOER_1213,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,2019.0,unknown,11800.0,unknown,<500 micron,unknown,DOER Database,Estuary,"Port of Durban, South Africa",Very High,unknown
DOER_1214,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,2019.0,unknown,2400.0,unknown,<500 micron,unknown,DOER Database,Estuary,"Port of Durban, South Africa",High,unknown
DOER_1215,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,2019.0,unknown,7200.0,unknown,(N/R),unknown,DOER Database,Estuary,"Port of Durban, South Africa",High,unknown
DOER_1217,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,2019.0,unknown,8200.0,unknown,(N/R),unknown,DOER Database,Estuary,"Port of Durban, South Africa",High,unknown
DOER_1219,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,2019.0,unknown,12500.0,unknown,(N/R),unknown,DOER Database,Estuary,"Port of Durban, South Africa",Very High,unknown
DOER_1220,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,2019.0,unknown,14733.0,unknown,(N/R),unknown,DOER Database,Estuary,"Port of Durban, South Africa",Very High,unknown
DOER_1221,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,2019.0,unknown,16800.0,unknown,<300 micron,unknown,DOER Database,Estuary,"Port of Durban, South Africa",Very High,unknown
DOER_1222,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,2019.0,unknown,3600.0,unknown,(N/R),unknown,DOER Database,Estuary,"Port of Durban, South Africa",High,unknown
DOER_1223,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,2019.0,unknown,6933.0,unknown,(N/R),unknown,DOER Database,Estuary,"Port of Durban, South Africa",High,unknown
DOER_1224,Africa,South Africa,Estuarine,Durban Bay,Coastal,Harbor/Port,Port of Durban,2019.0,unknown,17467.0,unknown,(N/R),unknown,DOER Database,Estuary,"Port of Durban, South Africa",Very High,unknown
